GEOIDFQ,GEOID,SUMLEVEL,GEOTYPE,NAME,SOURCE,STATEFP,COUNTYFP,COUSUBFP,PLACEFP,TRACTCE,CLASSFP,MUNITYPE,PLACECOMBO
M240000US3979100,3979100,M24,JURIS-MORPC,Urbancrest,MORPC,39,,,79100,,,Village,
M240000US3979114,3979114,M24,JURIS-MORPC,Utica,MORPC,39,,,79114,,,Village,
M240000US3979226,3979226,M24,JURIS-MORPC,Valley Hi,MORPC,39,,,79226,,,Village,
M240000US3979282,3979282,M24,JURIS-MORPC,Valleyview,MORPC,39,,,79282,,,Village,
M240000US3980500,3980500,M24,JURIS-MORPC,Waldo,MORPC,39,,,80500,,,Village,
M240000US3981718,3981718,M24,JURIS-MORPC,Washington Court House,MORPC,39,,,81718,,,City,
M240000US3983342,3983342,M24,JURIS-MORPC,Westerville,MORPC,39,,,83342,,,City,
M240000US3983580,3983580,M24,JURIS-MORPC,West Jefferson,MORPC,39,,,83580,,,Village,
M240000US3983734,3983734,M24,JURIS-MORPC,West Liberty,MORPC,39,,,83734,,,Village,
M240000US3983818,3983818,M24,JURIS-MORPC,West Mansfield,MORPC,39,,,83818,,,Village,
M240000US3984182,3984182,M24,JURIS-MORPC,West Rushville,MORPC,39,,,84182,,,Village,
M240000US3984742,3984742,M24,JURIS-MORPC,Whitehall,MORPC,39,,,84742,,,City,
M240000US3985414,3985414,M24,JURIS-MORPC,Williamsport,MORPC,39,,,85414,,,Village,
M240000US3986604,3986604,M24,JURIS-MORPC,Worthington,MORPC,39,,,86604,,,City,
M240000US3988070,3988070,M24,JURIS-MORPC,Zanesfield,MORPC,39,,,88070,,,Village,
M250000US3900450141,3900450141,M25,JURIS-COUNTY-MORPC,Adelphi,MORPC,39,39141,,00450,,,Village,ROSS_ADELPHI_VILLAGE
M250000US3901154089,3901154089,M25,JURIS-COUNTY-MORPC,Alexandria,MORPC,39,39089,,01154,,,Village,LICKING_ALEXANDRIA_VILLAGE
M250000US3901630045,3901630045,M25,JURIS-COUNTY-MORPC,Amanda,MORPC,39,39045,,01630,,,Village,FAIRFIELD_AMANDA_VILLAGE
M250000US3902582041,3902582041,M25,JURIS-COUNTY-MORPC,Ashley,MORPC,39,39041,,02582,,,Village,DELAWARE_ASHLEY_VILLAGE
